"index","x","y","expected value"
"167","1.782730","0.977626","0.895914"
"168","1.710825","0.990212","0.896472"
"169","1.623028","0.998636","0.897073"
"170","1.687862","0.993156","0.897635"
"171","1.790466","0.975969","0.898091"
"172","1.687547","0.993192","0.898640"
"173","1.559063","0.999931","0.899222"
"174","1.453538","0.993133","0.899759"
"175","1.244505","0.947238","0.900029"
"176","1.295195","0.962262","0.900380"
"177","1.226547","0.941329","0.900610"
"178","1.283820","0.959104","0.900937"
"179","1.188484","0.927804","0.901086"
"180","1.051395","0.868117","0.900904"
"181","0.871001","0.764974","0.900157"
"182","0.793665","0.712928","0.899134"
"183","0.840142","0.744738","0.898295"
"184","0.840142","0.744738","0.897465"
"185","0.871043","0.765001","0.896753"
"186","0.809599","0.724011","0.895829"
"187","1.011405","0.847578","0.895572"
"188","0.985638","0.833625","0.895245"
"189","1.086710","0.885101","0.895191"
"190","1.152182","0.913653","0.895288"
"191","1.097175","0.889922","0.895260"
"192","1.210524","0.935801","0.895470"
"193","0.891256","0.777862","0.894864"
"194","0.691632","0.637795","0.893546"
"195","0.641566","0.598451","0.892040"
"196","0.552244","0.524599","0.890175"
"197","0.476773","0.458914","0.887997"
"198","0.433399","0.419958","0.885645"
"199","0.376793","0.367941","0.883056"
"200","0.386359","0.376819","0.880538"
"201","0.330968","0.324958","0.877787"
"202","0.348783","0.341754","0.875147"
"203","0.538690","0.513012","0.873371"
"204","0.401526","0.390824","0.871018"
"205","0.417025","0.405043","0.868756"
"206","0.428882","0.415854","0.866568"
"207","0.478707","0.460632","0.864616"
"208","0.502845","0.481920","0.862785"
"209","0.578804","0.547023","0.861281"
"210","0.640625","0.597696","0.860032"
"211","0.710529","0.652235","0.859052"
"212","0.642937","0.599548","0.857834"
"213","0.614531","0.576576","0.856519"
"214","0.614531","0.576576","0.855217"
"215","0.595078","0.560573","0.853853"
"216","0.443313","0.428934","0.851895"
"217","0.473826","0.456294","0.850080"
"218","0.380597","0.371475","0.847895"
"219","0.380597","0.371475","0.845729"
"220","0.437513","0.423688","0.843820"
"221","0.492730","0.473033","0.842149"
"222","0.618621","0.579912","0.840974"
"223","0.680595","0.629255","0.840028"
"224","0.614062","0.576192","0.838856"
"225","0.609227","0.572234","0.837676"
"226","0.638055","0.595634","0.836610"
"227","0.513337","0.491087","0.835094"
"228","0.446943","0.432211","0.833335"
"229","0.641185","0.598145","0.832312"
"230","0.762462","0.690704","0.831699"
"231","0.741981","0.675749","0.831027"
"232","0.741981","0.675749","0.830361"
"233","0.729564","0.666544","0.829661"
"234","0.676886","0.626369","0.828796"
"235","0.555636","0.527484","0.827519"
"236","0.447680","0.432875","0.825854"
"237","0.406837","0.395707","0.824046"
"238","0.375562","0.366796","0.822133"
"239","0.449823","0.434806","0.820519"
"240","0.415417","0.403571","0.818789"
"241","0.467270","0.450451","0.817267"
"242","0.349613","0.342534","0.815314"
"243","0.302524","0.297930","0.813193"
"244","0.373772","0.365130","0.811364"
"245","0.485460","0.466615","0.809963"
"246","0.511840","0.489783","0.808667"
"247","0.477612","0.459660","0.807259"
"248","0.527933","0.503749","0.806041"
"249","0.556999","0.528641","0.804931"
"250","0.815300","0.727931","0.804624"
"251","0.777724","0.701660","0.804216"
"252","0.680074","0.628851","0.803522"
"253","0.680074","0.628851","0.802835"
"254","0.905118","0.786498","0.802771"
"255","1.067981","0.876229","0.803058"
"256","1.069535","0.876977","0.803345"
"257","1.147124","0.911585","0.803765"
"258","1.199241","0.931764","0.804259"
"259","1.277296","0.957237","0.804847"
"260","1.317721","0.968147","0.805473"
"261","1.396297","0.984814","0.806158"
"262","1.358012","0.977447","0.806809"
"263","1.481251","0.995993","0.807526"
"264","1.445660","0.992181","0.808222"
"265","1.391375","0.983947","0.808883"
"266","1.410865","0.987238","0.809551"
"267","1.504299","0.997790","0.810253"
"268","1.583473","0.999920","0.810958"
"269","1.563883","0.999976","0.811659"
"270","1.727050","0.987817","0.812308"
"271","1.779537","0.978293","0.812919"
"272","1.844728","0.962715","0.813467"
"273","1.833674","0.965646","0.814023"
"274","1.907135","0.943969","0.814495"
"275","2.032582","0.895258","0.814788"
"276","2.090454","0.867989","0.814980"
